Date,Close/Last,Volume,Open,High,Low
04/02/2026,584.98,50941710,573.97,586.05,571.92
04/01/2026,584.31,79435130,581.48,587.739,580.42
03/31/2026,577.18,95878000,564.29,578.64,564.21
03/30/2026,558.28,70602620,567.38,568.05,555.60
03/27/2026,562.58,82702240,570.81,571.02,561.57
03/26/2026,573.79,81492120,582.60,584.63,573.43
03/25/2026,587.82,60475490,589.14,591.37,585.69
03/24/2026,583.98,57750900,584.81,587.93,581.93
03/23/2026,588.00,89936120,590.52,595.08,585.96
03/20/2026,582.06,91964680,591.06,591.17,578.54
03/19/2026,593.02,75597580,589.51,595.80,587.08
03/18/2026,594.90,56127960,601.49,603.16,594.56
03/17/2026,603.31,47106610,603.14,605.90,601.87
03/16/2026,600.38,49077160,600.04,603.86,599.11
03/13/2026,593.72,63145490,599.73,603.5999,592.57
03/12/2026,597.26,71836630,602.76,604.14,597.05
03/11/2026,607.69,60114800,608.95,612.43,605.03
03/10/2026,607.77,64078870,607.78,613.29,605.42
03/09/2026,607.76,93068170,594.225,609.27,591.33
03/06/2026,599.75,86302310,600.31,606.00,598.33
03/05/2026,608.91,89602410,607.40,612.76,602.26
03/04/2026,610.75,70943890,604.16,612.88,603.43
03/03/2026,601.58,97015530,596.33,603.96,591.87
03/02/2026,608.09,75264640,598.86,609.92,597.99
02/27/2026,607.29,68125200,602.98,608.32,602.19
02/26/2026,609.24,96178870,615.59,615.59,603.98
02/25/2026,616.68,55710650,611.07,616.83,611.00
02/24/2026,607.87,55023730,602.40,608.99,599.73
02/23/2026,601.41,63859110,606.605,608.01,599.05
02/20/2026,608.81,74127320,600.12,610.35,599.23
02/19/2026,603.47,60960840,602.81,605.815,600.75
02/18/2026,605.79,64250670,602.11,609.771,600.72
02/17/2026,601.30,69013760,598.375,603.95,593.34
02/13/2026,601.92,69237550,600.43,606.48,596.42
02/12/2026,600.64,81378900,614.71,615.81,599.5699
02/11/2026,613.11,58575100,616.38,617.52,607.69
02/10/2026,611.47,53938860,615.305,617.02,611.01
02/09/2026,614.32,56797560,607.54,616.46,605.07
02/06/2026,609.65,78019340,600.19,611.41,598.77
02/05/2026,597.03,89354490,600.21,604.81,594.76
02/04/2026,605.75,81850750,615.02,615.10,600.47
02/03/2026,616.52,81233970,628.30,629.98,610.96
02/02/2026,626.14,49020290,618.70,628.49,618.66
01/30/2026,621.87,65650710,625.71,628.256,619.2975
01/29/2026,629.43,79944050,632.65,633.67,618.27
01/28/2026,633.22,50691690,635.46,636.60,631.81
01/27/2026,631.13,38997210,628.91,632.0427,627.34
01/26/2026,625.46,35983010,623.21,627.61,622.12
01/23/2026,622.72,43645830,619.73,625.3999,618.65
01/22/2026,620.76,42254760,622.35,622.46,617.78
01/21/2026,616.28,79837880,609.47,620.42,607.8635
01/20/2026,608.06,81988900,610.53,615.055,607.05
01/16/2026,621.26,61058090,625.50,626.08,618.88
01/15/2026,621.78,53934890,626.60,630.00,620.75
01/14/2026,619.55,72598700,622.24,623.45,614.56
01/13/2026,626.24,44481380,627.27,629.47,623.695
01/12/2026,627.17,37388650,622.31,628.845,622.26
01/09/2026,626.65,49688730,621.41,627.89,619.06
01/08/2026,620.47,50435940,623.03,623.42,617.80
01/07/2026,624.02,44880340,623.04,627.94,622.56
01/06/2026,623.42,43137520,619.23,624.0213,618.54
01/05/2026,617.99,46828360,619.32,620.81,616.72
01/02/2026,613.12,61859160,620.06,622.85,610.15
12/31/2025,614.31,40746530,619.65,619.96,614.05
12/30/2025,619.43,31226750,619.84,622.18,619.215
12/29/2025,620.87,32458310,620.10,622.78,618.73
12/26/2025,623.89,28959780,624.66,625.515,623.14
12/24/2025,623.93,18468710,621.99,624.28,621.72
